id,title,main_story,main_plus_extras,completionist,all_styles,coop,versus,type,developers,publishers,platforms,genres,release_na,release_eu,release_jp
3295,F.E.A.R. 2: Reborn,1.5,2.0,2.0,1.5,,,DLC/Expansion,Monolith,WB Games,"PC, Xbox 360","First-Person, Shooter",2009-09-03,2009-09-03,
3296,F.E.A.R. 3,6.0,8.5,14.0,6.5,,,,"Day 1 Studios, Monolith Productions",Warner Bros. Interactive,"PC, PlayStation 3, Xbox 360","First-Person, Shooter",2011-06-21,2011-06-24,
3297,F.E.A.R. Extraction Point,4.5,5.5,6.0,5.0,,,DLC/Expansion,TimeGate Studios,Vivendi Universal,"PC, Xbox 360","First-Person, Shooter",2006-10-24,,
3298,F.E.A.R. Files,10.0,13.0,,10.5,,,,"Day 1 Studios, TimeGate Studios",Sierra Entertainment,Xbox 360,Horror,2007-11-06,,
3299,F.E.A.R. Perseus Mandate,5.0,6.0,6.5,5.5,,,DLC/Expansion,Timegate Studios,Sierra,"PC, Xbox 360","First-Person, Shooter",2007-11-06,,
3301,F/A-18E Super Hornet,,,,,,,,Digital Integration,"Frogster Interactive, Interplay, Titus Software",,"Flight Combat, Simulation",2000-02-29,,
3302,F1,,15.0,,15.0,,,,Lankhor,Domark/Tengen,Sega Mega Drive/Genesis,Racing,,,
3303,F1 2000,10.0,,,10.0,,,,"Image Space Incorporated (PC), Visual Science (PSX)",EA Sports,PlayStation,Racing,2000-02-29,2000-06-10,2000-01-06
3304,F1 2002,,,,,,,,"Visual Sciences, Destination Software, Electronic Arts Victor, Image Space, Magic Pockets",Electronic Arts,PC,Racing,2002-04-04,,
3305,F1 2010,28.0,61.5,100.0,68.0,,,,Codemasters Birmingham,Codemasters,"PC, PlayStation 3, Xbox 360",Racing,2010-09-22,2010-09-23,
3306,F1 2011,17.0,25.5,,23.0,,,,Codemasters Birmingham,Codemasters,"PC, PlayStation 3, PlayStation Vita, Xbox 360",Racing,2011-09-20,2011-09-23,
3307,F1 2012,44.0,57.0,80.0,61.0,,,,"Codemasters Birmingham, Feral Interactive","Codemasters, Feral Interactive","PC, PlayStation 3, Xbox 360",Racing,2012-09-18,2012-09-21,
3308,F1 Career Challenge,,,,,,,,"Image Space Incorporated, Visual Science",EA Sports,,Racing,2003-01-01,,
3309,F1 Race Stars,11.5,21.5,24.0,19.0,,,,Codemasters Birmingham,Codemasters,"PC, PlayStation 3, Xbox 360",Racing,2012-11-13,2012-11-16,
3310,Fab 5 Soccer,,,12.5,12.5,,,,Destineer,Destineer,Nintendo DS,Sports,2011-08-04,,
3311,Fable,12.5,20.0,37.0,18.0,,,,"Lionhead Studios, Big Blue Box, Robosoft",Microsoft Game Studios,"PC, Xbox, Xbox 360","Third-Person, Action, Role-Playing, Sandbox",2004-09-14,2004-10-08,2005-03-17
3313,Fable Heroes,2.5,6.0,16.5,7.0,,,,Lionhead Studios,Microsoft Studios,Xbox 360,Beat 'em Up,2012-05-02,,
3314,Fable II,13.0,23.5,54.0,21.5,,,,Lionhead Studios,Microsoft Game Studios,"PC, Xbox, Xbox 360, Xbox One","Third-Person, Action, Role-Playing, Sandbox",2008-10-21,2008-10-24,2008-12-18
3315,Fable II Pub Games,,,4.0,4.0,,,,"Carbonated Games, Lionhead Studios","Xbox Live Productions, Microsoft Game Studios",Xbox 360,Pub games,2008-08-13,2008-08-13,
3316,Fable III,12.5,25.5,48.5,21.5,,,,Lionhead Studios,Microsoft Game Studios,"PC, Xbox 360, Xbox One","Third-Person, Action, Role-Playing, Sandbox",2010-10-26,2010-10-29,
3317,Fable: The Journey,9.0,9.0,,9.0,,,,Lionhead Studios,Microsoft Studios,Xbox 360,"On-Rails, Action, Adventure, Shooter",2012-10-09,2012-10-12,
3318,Fable: The Lost Chapters,15.0,20.5,40.5,20.5,,,,"Lionhead Studios, Big Blue Box, Robosoft","Microsoft Game Studios, Feral Interactive (Mac)","PC, Xbox, Xbox 360",,2005-09-20,,
3319,Facade,0.5666666666666667,,,0.5666666666666667,,,,Procedural Arts,Procedural Arts,PC,Adventure,2005-07-01,,
3320,Face Raiders,1.0,1.5,2.5,1.5,,,,HAL Laboratory,Nintendo,Nintendo 3DS,First-person Shooter,2011-03-27,2011-03-25,2011-02-26
3321,FaceBreaker,,,,,,,,EA Freestyle,EA Sports BIG,,Sports,2008-11-11,2008-11-11,
3322,Faces of War,32.0,43.5,,39.5,,,,Best Way,"Ubisoft, 1C Company",PC,"Real-time strategy, Real-time tactics",2006-09-12,2006-09-15,
3323,Fade to Black,9.0,,,9.0,,,,Delphine Software International,Electronic Arts,"PC, PlayStation","Third-Person, Puzzle, Shooter",1995-09-25,1995-09-22,
3324,Fading Hearts,2.0,5.0,5.5,4.0,,,,Sakura River Interactive,Sakura River Interactive,PC,Visual Novel,2009-11-11,,
3325,Faerie Solitaire,13.0,16.5,37.5,19.5,,,,Subsoap,Subsoap,PC,Card Game,2009-03-15,2009-03-15,
3326,Faery: Legends of Avalon,6.0,7.5,10.0,9.0,,,,Spiders Studio,Focus Home Interactive,"PC, PlayStation 3, Xbox 360, Xbox One",Role-Playing,2010-11-10,,
3327,Fairune,2.5,3.0,6.5,3.5,,,,Capcom,Skipmore,"Android, iOS, Nintendo 3DS, Nintendo Switch",Adventure,,,2009-11-01
3328,Fairway Solitaire,,,,,,,,Grey Alien Games,Big Fish Games,,,2007-12-07,,
3329,Fairy Bloom Freesia,3.0,5.5,14.0,4.0,,,,Edelweiss,Capcom,PC,Action,2012-10-17,,
3330,Fairy Tail: Portable Guild,,39.5,,39.5,,,,Konami Corporation,Konami Corporation,PSP,"Action, Adventure, Fighting",,,
3331,Fairy Tail: Zelef Kakusei,,35.0,,35.0,,,,Konami Corporation,Konami Corporation,PSP,"Action, Adventure",,,2010-06-03
3332,Fairytale Fights,10.5,20.0,,13.5,,,,Playlogic Game Factory,Playlogic Entertainment,"PlayStation 3, Xbox 360","Hack-and-slash, Action, Adventure",2009-10-27,,
